locus_tag	ftype	length_bp	gene	EC_number	COG	product
BELOPBAG_00001	CDS	1749		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
BELOPBAG_00002	CDS	1725			COG1132	putative ABC transporter ATP-binding protein
BELOPBAG_00003	CDS	939	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
BELOPBAG_00004	CDS	870	thrB	2.7.1.39	COG0083	Homoserine kinase
BELOPBAG_00005	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
BELOPBAG_00006	CDS	738	mecA		COG4862	Adapter protein MecA
BELOPBAG_00007	CDS	1035				hypothetical protein
BELOPBAG_00008	CDS	1434				hypothetical protein
BELOPBAG_00009	CDS	987	glyG			Glycosyltransferase GlyG
BELOPBAG_00010	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
BELOPBAG_00011	CDS	837				hypothetical protein
BELOPBAG_00012	CDS	1275	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
BELOPBAG_00013	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
BELOPBAG_00014	CDS	477	aroK	2.7.1.71	COG0703	Shikimate kinase
BELOPBAG_00015	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
BELOPBAG_00016	CDS	339				hypothetical protein
BELOPBAG_00017	CDS	1104				hypothetical protein
BELOPBAG_00018	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
BELOPBAG_00019	CDS	1068	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
BELOPBAG_00020	CDS	855	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
BELOPBAG_00021	CDS	678	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
BELOPBAG_00022	CDS	1164	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
BELOPBAG_00023	CDS	1635				hypothetical protein
BELOPBAG_00024	CDS	750	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
BELOPBAG_00025	CDS	1455	amyS	3.2.1.1		Alpha-amylase
BELOPBAG_00026	CDS	2619	alaS	6.1.1.7		Alanine--tRNA ligase
