locus_tag	ftype	length_bp	gene	EC_number	COG	product
EOOEDEHK_00001	CDS	459				hypothetical protein
EOOEDEHK_00002	CDS	441			COG3279	putative HTH-type transcriptional regulator
EOOEDEHK_00003	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
EOOEDEHK_00004	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
EOOEDEHK_00005	CDS	1206	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
EOOEDEHK_00006	CDS	636	ribE	2.5.1.9	COG0307	Riboflavin synthase
EOOEDEHK_00007	CDS	1101	ribD		COG0117	Riboflavin biosynthesis protein RibD
EOOEDEHK_00008	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
EOOEDEHK_00009	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EOOEDEHK_00010	CDS	678				hypothetical protein
EOOEDEHK_00011	CDS	1032	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
EOOEDEHK_00012	CDS	684				hypothetical protein
EOOEDEHK_00013	CDS	945				hypothetical protein
EOOEDEHK_00014	CDS	2832	uvrA			UvrABC system protein A
EOOEDEHK_00015	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
EOOEDEHK_00016	CDS	399	spxA_1		COG1393	Regulatory protein Spx
EOOEDEHK_00017	CDS	570				hypothetical protein
EOOEDEHK_00018	CDS	267				hypothetical protein
EOOEDEHK_00019	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EOOEDEHK_00020	CDS	306				hypothetical protein
EOOEDEHK_00021	CDS	1251	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
EOOEDEHK_00022	CDS	459				hypothetical protein
EOOEDEHK_00023	CDS	1533	cls	2.7.8.-		Cardiolipin synthase
EOOEDEHK_00024	CDS	144				hypothetical protein
EOOEDEHK_00025	CDS	1539				hypothetical protein
EOOEDEHK_00026	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
EOOEDEHK_00027	CDS	507				hypothetical protein
EOOEDEHK_00028	CDS	591				hypothetical protein
EOOEDEHK_00029	CDS	585	udk_1	2.7.1.48		Uridine kinase
EOOEDEHK_00030	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
EOOEDEHK_00031	CDS	627	rplC		COG0087	50S ribosomal protein L3
EOOEDEHK_00032	CDS	624	rplD		COG0088	50S ribosomal protein L4
EOOEDEHK_00033	CDS	297	rplW			50S ribosomal protein L23
EOOEDEHK_00034	CDS	834	rplB		COG0090	50S ribosomal protein L2
EOOEDEHK_00035	CDS	282	rpsS		COG0185	30S ribosomal protein S19
EOOEDEHK_00036	CDS	345	rplV		COG0091	50S ribosomal protein L22
EOOEDEHK_00037	CDS	654	rpsC		COG0092	30S ribosomal protein S3
EOOEDEHK_00038	CDS	414	rplP		COG0197	50S ribosomal protein L16
EOOEDEHK_00039	CDS	207	rpmC		COG0255	50S ribosomal protein L29
EOOEDEHK_00040	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
EOOEDEHK_00041	CDS	369	rplN		COG0093	50S ribosomal protein L14
EOOEDEHK_00042	CDS	306	rplX		COG0198	50S ribosomal protein L24
EOOEDEHK_00043	CDS	543	rplE		COG0094	50S ribosomal protein L5
EOOEDEHK_00044	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
EOOEDEHK_00045	CDS	399	rpsH			30S ribosomal protein S8
EOOEDEHK_00046	CDS	537	rplF		COG0097	50S ribosomal protein L6
EOOEDEHK_00047	CDS	357	rplR		COG0256	50S ribosomal protein L18
EOOEDEHK_00048	CDS	495	rpsE			30S ribosomal protein S5
EOOEDEHK_00049	CDS	183	rpmD		COG1841	50S ribosomal protein L30
EOOEDEHK_00050	CDS	441	rplO			50S ribosomal protein L15
EOOEDEHK_00051	CDS	1311	secY			Protein translocase subunit SecY
EOOEDEHK_00052	CDS	639	adk	2.7.4.3	COG0563	Adenylate kinase
EOOEDEHK_00053	CDS	219	infA		COG0361	Translation initiation factor IF-1
EOOEDEHK_00054	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
EOOEDEHK_00055	CDS	366	rpsM		COG0099	30S ribosomal protein S13
EOOEDEHK_00056	CDS	384	rpsK			30S ribosomal protein S11
EOOEDEHK_00057	CDS	936	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
EOOEDEHK_00058	CDS	387	rplQ		COG0203	50S ribosomal protein L17
EOOEDEHK_00059	CDS	267				hypothetical protein
EOOEDEHK_00060	CDS	1338				hypothetical protein
EOOEDEHK_00061	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
EOOEDEHK_00062	CDS	1023				hypothetical protein
EOOEDEHK_00063	CDS	369				hypothetical protein
EOOEDEHK_00064	CDS	951	potA_1	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
EOOEDEHK_00065	CDS	1017			COG1840	putative protein
EOOEDEHK_00066	CDS	777	hpdA	1.97.1.-	COG1180	4-hydroxyphenylacetate decarboxylase activating enzyme
EOOEDEHK_00067	CDS	747	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
EOOEDEHK_00068	CDS	981	sorC_1		COG2390	Sorbitol operon regulator
EOOEDEHK_00069	CDS	321	licA		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
EOOEDEHK_00070	CDS	309	gmuB	2.7.1.205	COG1440	PTS system oligo-beta-mannoside-specific EIIB component
EOOEDEHK_00071	CDS	1299	licC_1		COG1455	Lichenan permease IIC component
EOOEDEHK_00072	CDS	2439	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
EOOEDEHK_00073	CDS	669	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
EOOEDEHK_00074	CDS	1089	gldA	1.1.1.6		Glycerol dehydrogenase
EOOEDEHK_00075	CDS	2502	leuS	6.1.1.4		Leucine--tRNA ligase
