locus_tag	ftype	length_bp	gene	EC_number	COG	product
DJPNOOBJ_00001	CDS	459				hypothetical protein
DJPNOOBJ_00002	CDS	441			COG3279	putative HTH-type transcriptional regulator
DJPNOOBJ_00003	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
DJPNOOBJ_00004	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
DJPNOOBJ_00005	CDS	1206	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
DJPNOOBJ_00006	CDS	636	ribE	2.5.1.9	COG0307	Riboflavin synthase
DJPNOOBJ_00007	CDS	1101	ribD		COG0117	Riboflavin biosynthesis protein RibD
DJPNOOBJ_00008	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
DJPNOOBJ_00009	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
DJPNOOBJ_00010	CDS	678				hypothetical protein
DJPNOOBJ_00011	CDS	1032	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
DJPNOOBJ_00012	CDS	684				hypothetical protein
DJPNOOBJ_00013	CDS	945				hypothetical protein
DJPNOOBJ_00014	CDS	2832	uvrA			UvrABC system protein A
DJPNOOBJ_00015	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
DJPNOOBJ_00016	CDS	399	spxA_1		COG1393	Regulatory protein Spx
DJPNOOBJ_00017	CDS	570				hypothetical protein
DJPNOOBJ_00018	CDS	267				hypothetical protein
DJPNOOBJ_00019	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
DJPNOOBJ_00020	CDS	306				hypothetical protein
DJPNOOBJ_00021	CDS	1251	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
DJPNOOBJ_00022	CDS	456				hypothetical protein
DJPNOOBJ_00023	CDS	1533	cls	2.7.8.-		Cardiolipin synthase
DJPNOOBJ_00024	CDS	144				hypothetical protein
DJPNOOBJ_00025	CDS	1539				hypothetical protein
DJPNOOBJ_00026	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
DJPNOOBJ_00027	CDS	507				hypothetical protein
DJPNOOBJ_00028	CDS	591				hypothetical protein
DJPNOOBJ_00029	CDS	618	udk_1	2.7.1.48		Uridine kinase
DJPNOOBJ_00030	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
DJPNOOBJ_00031	CDS	627	rplC		COG0087	50S ribosomal protein L3
DJPNOOBJ_00032	CDS	624	rplD		COG0088	50S ribosomal protein L4
DJPNOOBJ_00033	CDS	297	rplW			50S ribosomal protein L23
DJPNOOBJ_00034	CDS	834	rplB		COG0090	50S ribosomal protein L2
DJPNOOBJ_00035	CDS	282	rpsS		COG0185	30S ribosomal protein S19
DJPNOOBJ_00036	CDS	345	rplV		COG0091	50S ribosomal protein L22
DJPNOOBJ_00037	CDS	654	rpsC		COG0092	30S ribosomal protein S3
DJPNOOBJ_00038	CDS	414	rplP		COG0197	50S ribosomal protein L16
DJPNOOBJ_00039	CDS	207	rpmC		COG0255	50S ribosomal protein L29
DJPNOOBJ_00040	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
DJPNOOBJ_00041	CDS	369	rplN		COG0093	50S ribosomal protein L14
DJPNOOBJ_00042	CDS	306	rplX		COG0198	50S ribosomal protein L24
DJPNOOBJ_00043	CDS	543	rplE		COG0094	50S ribosomal protein L5
DJPNOOBJ_00044	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
DJPNOOBJ_00045	CDS	399	rpsH			30S ribosomal protein S8
DJPNOOBJ_00046	CDS	537	rplF		COG0097	50S ribosomal protein L6
DJPNOOBJ_00047	CDS	357	rplR		COG0256	50S ribosomal protein L18
DJPNOOBJ_00048	CDS	495	rpsE			30S ribosomal protein S5
DJPNOOBJ_00049	CDS	183	rpmD		COG1841	50S ribosomal protein L30
DJPNOOBJ_00050	CDS	441	rplO			50S ribosomal protein L15
DJPNOOBJ_00051	CDS	1311	secY_1			Protein translocase subunit SecY
DJPNOOBJ_00052	CDS	639	adk	2.7.4.3	COG0563	Adenylate kinase
DJPNOOBJ_00053	CDS	219	infA		COG0361	Translation initiation factor IF-1
DJPNOOBJ_00054	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
DJPNOOBJ_00055	CDS	366	rpsM		COG0099	30S ribosomal protein S13
DJPNOOBJ_00056	CDS	384	rpsK			30S ribosomal protein S11
DJPNOOBJ_00057	CDS	936	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
DJPNOOBJ_00058	CDS	387	rplQ		COG0203	50S ribosomal protein L17
DJPNOOBJ_00059	CDS	267				hypothetical protein
DJPNOOBJ_00060	CDS	1338				hypothetical protein
DJPNOOBJ_00061	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
DJPNOOBJ_00062	CDS	1023				hypothetical protein
DJPNOOBJ_00063	CDS	345				hypothetical protein
DJPNOOBJ_00064	CDS	951	potA_1	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
DJPNOOBJ_00065	CDS	129				hypothetical protein
DJPNOOBJ_00066	CDS	450				hypothetical protein
DJPNOOBJ_00067	CDS	195				hypothetical protein
DJPNOOBJ_00068	CDS	102				hypothetical protein
DJPNOOBJ_00069	CDS	777	hpdA	1.97.1.-	COG1180	4-hydroxyphenylacetate decarboxylase activating enzyme
DJPNOOBJ_00070	CDS	747	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
DJPNOOBJ_00071	CDS	981	sorC_1		COG2390	Sorbitol operon regulator
DJPNOOBJ_00072	CDS	321	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
DJPNOOBJ_00073	CDS	309	gmuB	2.7.1.205	COG1440	PTS system oligo-beta-mannoside-specific EIIB component
DJPNOOBJ_00074	CDS	1299	licC_1		COG1455	Lichenan permease IIC component
DJPNOOBJ_00075	CDS	2439	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
DJPNOOBJ_00076	CDS	669	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
DJPNOOBJ_00077	CDS	1089	gldA	1.1.1.6		Glycerol dehydrogenase
DJPNOOBJ_00078	CDS	2502	leuS	6.1.1.4		Leucine--tRNA ligase
DJPNOOBJ_00079	CDS	843				hypothetical protein
DJPNOOBJ_00080	CDS	696				hypothetical protein
DJPNOOBJ_00081	CDS	417				hypothetical protein
DJPNOOBJ_00082	CDS	972	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
DJPNOOBJ_00083	CDS	108				hypothetical protein
DJPNOOBJ_00084	CDS	426				hypothetical protein
DJPNOOBJ_00085	CDS	759	uppS	2.5.1.-	COG0020	Isoprenyl transferase
DJPNOOBJ_00086	CDS	804				hypothetical protein
DJPNOOBJ_00087	CDS	1260		3.4.24.-		Putative zinc metalloprotease
DJPNOOBJ_00088	CDS	1854	proS	6.1.1.15	COG0442	Proline--tRNA ligase
DJPNOOBJ_00089	CDS	1380	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
DJPNOOBJ_00090	CDS	1809	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
DJPNOOBJ_00091	CDS	1050				hypothetical protein
DJPNOOBJ_00092	CDS	3843	glgX_1	3.2.1.196		Glycogen debranching enzyme
DJPNOOBJ_00093	CDS	414	rpsL		COG0048	30S ribosomal protein S12
DJPNOOBJ_00094	CDS	471	rpsG		COG0049	30S ribosomal protein S7
DJPNOOBJ_00095	CDS	2082	fus			Elongation factor G
DJPNOOBJ_00096	CDS	4392	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
DJPNOOBJ_00097	CDS	264				hypothetical protein
DJPNOOBJ_00098	CDS	279	yafQ	3.1.-.-		mRNA interferase toxin YafQ
DJPNOOBJ_00099	CDS	153				hypothetical protein
DJPNOOBJ_00100	CDS	1242	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
DJPNOOBJ_00101	CDS	231				hypothetical protein
DJPNOOBJ_00102	CDS	723	rsuA_1	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
DJPNOOBJ_00103	CDS	1335	pepC	3.4.22.40	COG3579	Aminopeptidase C
DJPNOOBJ_00104	CDS	912	manZ_1		COG3716	PTS system mannose-specific EIID component
DJPNOOBJ_00105	CDS	804	sorA		COG3715	PTS system sorbose-specific EIIC component
DJPNOOBJ_00106	CDS	990	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
DJPNOOBJ_00107	CDS	1020	adhA	1.1.1.1		Alcohol dehydrogenase 1
DJPNOOBJ_00108	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
DJPNOOBJ_00109	CDS	1419	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
DJPNOOBJ_00110	CDS	708				hypothetical protein
DJPNOOBJ_00111	CDS	945	sulA	2.5.1.15	COG0294	Dihydropteroate synthase
DJPNOOBJ_00112	CDS	1323	fpgS_2	6.3.2.17		Folylpolyglutamate synthase
DJPNOOBJ_00113	CDS	555	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
DJPNOOBJ_00114	CDS	813	sulD		COG0801	Bifunctional folate synthesis protein
DJPNOOBJ_00115	CDS	318				hypothetical protein
DJPNOOBJ_00116	CDS	447	rplM			50S ribosomal protein L13
DJPNOOBJ_00117	CDS	393	rpsI		COG0103	30S ribosomal protein S9
DJPNOOBJ_00118	CDS	423	xerC_1			Tyrosine recombinase XerC
DJPNOOBJ_00119	CDS	177				hypothetical protein
DJPNOOBJ_00120	CDS	126				hypothetical protein
DJPNOOBJ_00121	CDS	2214				hypothetical protein
DJPNOOBJ_00122	CDS	477	bsaA			Glutathione peroxidase BsaA
DJPNOOBJ_00123	CDS	3204		4.2.2.1		Hyaluronate lyase
DJPNOOBJ_00124	CDS	216				IS200/IS605 family transposase ISStin10
DJPNOOBJ_00125	CDS	630	kdgA		COG0800	KHG/KDPG aldolase
DJPNOOBJ_00126	CDS	1002	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
DJPNOOBJ_00127	CDS	642				hypothetical protein
DJPNOOBJ_00128	CDS	816	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
DJPNOOBJ_00129	CDS	435				hypothetical protein
DJPNOOBJ_00130	CDS	1191	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
DJPNOOBJ_00131	CDS	492	levE_1	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
DJPNOOBJ_00132	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
DJPNOOBJ_00133	CDS	819	manZ_2		COG3716	PTS system mannose-specific EIID component
DJPNOOBJ_00134	CDS	294				hypothetical protein
DJPNOOBJ_00135	CDS	1902				hypothetical protein
DJPNOOBJ_00136	CDS	1002	kdgR		COG1609	HTH-type transcriptional regulator KdgR
DJPNOOBJ_00137	CDS	336				hypothetical protein
DJPNOOBJ_00138	CDS	243				hypothetical protein
DJPNOOBJ_00139	CDS	195				hypothetical protein
DJPNOOBJ_00140	CDS	951	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
DJPNOOBJ_00141	CDS	318	ftsL			Cell division protein FtsL
DJPNOOBJ_00142	CDS	2253	pbpX		COG0768	Penicillin-binding protein 2X
DJPNOOBJ_00143	CDS	981	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
DJPNOOBJ_00144	CDS	2106	clpC_1			putative ATP-dependent Clp protease ATP-binding subunit
DJPNOOBJ_00145	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
DJPNOOBJ_00146	CDS	822				hypothetical protein
DJPNOOBJ_00147	CDS	600				hypothetical protein
DJPNOOBJ_00148	CDS	1608	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
DJPNOOBJ_00149	CDS	339				IS630 family transposase IS630-Spn1
DJPNOOBJ_00150	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
DJPNOOBJ_00151	CDS	732	cpsB	3.1.3.48	COG4464	Tyrosine-protein phosphatase CpsB
DJPNOOBJ_00152	CDS	693	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
DJPNOOBJ_00153	CDS	690	cpsD	2.7.10.2		Tyrosine-protein kinase CpsD
DJPNOOBJ_00154	CDS	1362				hypothetical protein
DJPNOOBJ_00155	CDS	744	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
DJPNOOBJ_00156	CDS	825				hypothetical protein
DJPNOOBJ_00157	CDS	879				hypothetical protein
DJPNOOBJ_00158	CDS	1335				hypothetical protein
DJPNOOBJ_00159	CDS	1425				hypothetical protein
DJPNOOBJ_00160	CDS	1089	mnaA	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
DJPNOOBJ_00161	CDS	870	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
DJPNOOBJ_00162	CDS	594	rfbC	5.1.3.-		Protein RmlC 
DJPNOOBJ_00163	CDS	1050	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
DJPNOOBJ_00164	CDS	852	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
DJPNOOBJ_00165	CDS	312				hypothetical protein
DJPNOOBJ_00166	CDS	1983	sarA_1		COG4166	Oligopeptide-binding protein SarA
DJPNOOBJ_00167	CDS	5304		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
DJPNOOBJ_00168	CDS	2160	ponA		COG0744	Penicillin-binding protein 1A
DJPNOOBJ_00169	CDS	597	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
DJPNOOBJ_00170	CDS	528				hypothetical protein
DJPNOOBJ_00171	CDS	330	gpsB		COG3599	Cell cycle protein GpsB
DJPNOOBJ_00172	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
DJPNOOBJ_00173	CDS	1395	mapZ			Mid-cell-anchored protein Z
DJPNOOBJ_00174	CDS	1425	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
DJPNOOBJ_00175	CDS	690	arlR_1		COG0745	Response regulator ArlR
DJPNOOBJ_00176	CDS	1029				hypothetical protein
DJPNOOBJ_00177	CDS	999				hypothetical protein
DJPNOOBJ_00178	CDS	1233				hypothetical protein
DJPNOOBJ_00179	CDS	621				hypothetical protein
DJPNOOBJ_00180	CDS	330				hypothetical protein
DJPNOOBJ_00181	CDS	879	galK_1	2.7.1.6		Galactokinase
DJPNOOBJ_00182	CDS	954				hypothetical protein
DJPNOOBJ_00183	CDS	1008		2.7.4.2		Phosphomevalonate kinase
DJPNOOBJ_00184	CDS	1011	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
DJPNOOBJ_00185	CDS	699	liaF		COG4758	Protein LiaF
DJPNOOBJ_00186	CDS	996				hypothetical protein
DJPNOOBJ_00187	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
DJPNOOBJ_00188	CDS	147				hypothetical protein
DJPNOOBJ_00189	CDS	240				hypothetical protein
DJPNOOBJ_00190	CDS	678	blaSE	3.4.21.19	COG3591	Glutamyl endopeptidase
DJPNOOBJ_00191	CDS	366				hypothetical protein
DJPNOOBJ_00192	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
DJPNOOBJ_00193	CDS	2367	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
DJPNOOBJ_00194	CDS	615	spsB	3.4.21.89		Signal peptidase IB
DJPNOOBJ_00195	CDS	882	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
DJPNOOBJ_00196	CDS	303				hypothetical protein
DJPNOOBJ_00197	CDS	549				hypothetical protein
DJPNOOBJ_00198	CDS	2337	mutS2	3.1.-.-		Endonuclease MutS2
DJPNOOBJ_00199	CDS	930				hypothetical protein
DJPNOOBJ_00200	CDS	528				hypothetical protein
DJPNOOBJ_00201	CDS	1539	dnaK_1		COG0443	Chaperone protein DnaK
DJPNOOBJ_00202	CDS	1368				hypothetical protein
DJPNOOBJ_00203	CDS	459	grpE_1			Protein GrpE
DJPNOOBJ_00204	CDS	813				hypothetical protein
DJPNOOBJ_00205	CDS	777				hypothetical protein
DJPNOOBJ_00206	CDS	1389				hypothetical protein
DJPNOOBJ_00207	CDS	1017				hypothetical protein
DJPNOOBJ_00208	CDS	672				hypothetical protein
DJPNOOBJ_00209	CDS	867				hypothetical protein
DJPNOOBJ_00210	CDS	1323	alsT		COG1115	Amino-acid carrier protein AlsT
DJPNOOBJ_00211	CDS	549				hypothetical protein
DJPNOOBJ_00212	CDS	900				hypothetical protein
DJPNOOBJ_00213	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
DJPNOOBJ_00214	CDS	372				hypothetical protein
DJPNOOBJ_00215	CDS	1365	yclM	2.7.2.4	COG0527	Aspartokinase 3
DJPNOOBJ_00216	CDS	786	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
DJPNOOBJ_00217	CDS	435				hypothetical protein
DJPNOOBJ_00218	CDS	975	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
DJPNOOBJ_00219	CDS	225	acpA		COG0236	Acyl carrier protein
DJPNOOBJ_00220	CDS	975		1.6.5.11	COG2070	NADH:quinone reductase
DJPNOOBJ_00221	CDS	921	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
DJPNOOBJ_00222	CDS	732	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
DJPNOOBJ_00223	CDS	1236	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
DJPNOOBJ_00224	CDS	486	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
DJPNOOBJ_00225	CDS	423	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
DJPNOOBJ_00226	CDS	1368	accC	6.3.4.14	COG0439	Biotin carboxylase
DJPNOOBJ_00227	CDS	867	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
DJPNOOBJ_00228	CDS	768	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
DJPNOOBJ_00229	CDS	300				hypothetical protein
DJPNOOBJ_00230	CDS	411				hypothetical protein
DJPNOOBJ_00231	CDS	423	nusB		COG0781	Transcription antitermination protein NusB
DJPNOOBJ_00232	CDS	390				putative protein
DJPNOOBJ_00233	CDS	561	efp			Elongation factor P
DJPNOOBJ_00234	CDS	228				hypothetical protein
DJPNOOBJ_00235	CDS	2946	nanA_1	3.2.1.18	COG4409	Sialidase A
DJPNOOBJ_00236	CDS	453				hypothetical protein
DJPNOOBJ_00237	CDS	1338				hypothetical protein
DJPNOOBJ_00238	CDS	885	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
DJPNOOBJ_00239	CDS	834	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
DJPNOOBJ_00240	CDS	2094	nanB	3.2.1.18	COG4409	Sialidase B
DJPNOOBJ_00241	CDS	1104	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
DJPNOOBJ_00242	CDS	699	nanE_1	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
DJPNOOBJ_00243	CDS	1518	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
DJPNOOBJ_00244	CDS	1329				hypothetical protein
DJPNOOBJ_00245	CDS	888	lacF_1			Lactose transport system permease protein LacF
DJPNOOBJ_00246	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
DJPNOOBJ_00247	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
DJPNOOBJ_00248	CDS	333				hypothetical protein
DJPNOOBJ_00249	CDS	645				hypothetical protein
DJPNOOBJ_00250	CDS	918	nanA_2	4.1.3.3	COG0329	N-acetylneuraminate lyase
DJPNOOBJ_00251	CDS	885	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
DJPNOOBJ_00252	CDS	852	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
DJPNOOBJ_00253	CDS	2043	penA		COG0768	Penicillin-binding protein 2B
DJPNOOBJ_00254	CDS	597	recR		COG0353	Recombination protein RecR
DJPNOOBJ_00255	CDS	1044	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
DJPNOOBJ_00256	CDS	1374	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
