locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNCCGABL_00001	CDS	114				hypothetical protein
GNCCGABL_00002	CDS	3099				hypothetical protein
GNCCGABL_00003	CDS	549				hypothetical protein
GNCCGABL_00004	CDS	432				hypothetical protein
GNCCGABL_00005	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
GNCCGABL_00006	CDS	366				hypothetical protein
GNCCGABL_00007	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
GNCCGABL_00008	CDS	291	rpsF		COG0360	30S ribosomal protein S6
GNCCGABL_00009	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
GNCCGABL_00010	CDS	240	rpsR		COG0238	30S ribosomal protein S18
GNCCGABL_00011	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
GNCCGABL_00012	CDS	360	yugI		COG1098	General stress protein 13
GNCCGABL_00013	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
GNCCGABL_00014	CDS	300				hypothetical protein
GNCCGABL_00015	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
GNCCGABL_00016	CDS	513				hypothetical protein
GNCCGABL_00017	CDS	597				hypothetical protein
GNCCGABL_00018	CDS	198				hypothetical protein
GNCCGABL_00019	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
GNCCGABL_00020	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
GNCCGABL_00021	CDS	1959	sarA_1		COG4166	Oligopeptide-binding protein SarA
GNCCGABL_00022	CDS	1683	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
GNCCGABL_00023	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
GNCCGABL_00024	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
GNCCGABL_00025	CDS	3099	rapA	3.6.4.-		RNA polymerase-associated protein RapA
GNCCGABL_00026	CDS	618				hypothetical protein
GNCCGABL_00027	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
GNCCGABL_00028	CDS	465				hypothetical protein
GNCCGABL_00029	CDS	495				hypothetical protein
GNCCGABL_00030	CDS	1656	mltG	4.2.2.-		Endolytic murein transglycosylase
GNCCGABL_00031	CDS	483	greA			Transcription elongation factor GreA
GNCCGABL_00032	CDS	429				hypothetical protein
GNCCGABL_00033	CDS	684			COG2826	IS30 family transposase ISSpn8
GNCCGABL_00034	CDS	201	atpE		COG0636	ATP synthase subunit c
GNCCGABL_00035	CDS	717	atpB		COG0356	ATP synthase subunit a
GNCCGABL_00036	CDS	495	atpF		COG0711	ATP synthase subunit b
GNCCGABL_00037	CDS	537	atpH		COG0712	ATP synthase subunit delta
GNCCGABL_00038	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
GNCCGABL_00039	CDS	879	atpG		COG0224	ATP synthase gamma chain
GNCCGABL_00040	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
GNCCGABL_00041	CDS	420	atpC		COG0355	ATP synthase epsilon chain
GNCCGABL_00042	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
GNCCGABL_00043	CDS	1167			COG0628	Putative transport protein
GNCCGABL_00044	CDS	1230	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
GNCCGABL_00045	CDS	642	yecS_1		COG0765	L-cystine transport system permease protein YecS
GNCCGABL_00046	CDS	630	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
GNCCGABL_00047	CDS	837	artP		COG0834	Arginine-binding extracellular protein ArtP
GNCCGABL_00048	CDS	348				hypothetical protein
GNCCGABL_00049	CDS	1719	pgcA	5.4.2.2		Phosphoglucomutase
GNCCGABL_00050	CDS	300				hypothetical protein
GNCCGABL_00051	CDS	255				hypothetical protein
GNCCGABL_00052	CDS	1107				hypothetical protein
GNCCGABL_00053	CDS	609				hypothetical protein
GNCCGABL_00054	CDS	870	gla		COG0580	Glycerol facilitator-aquaporin gla
GNCCGABL_00055	CDS	1197	tuf			Elongation factor Tu
GNCCGABL_00056	CDS	267				IS630 family transposase ISSpn2
GNCCGABL_00057	CDS	510				IS630 family transposase ISSpn2
GNCCGABL_00058	CDS	1083	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
GNCCGABL_00059	CDS	978	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
GNCCGABL_00060	CDS	378				hypothetical protein
GNCCGABL_00061	CDS	1443	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
GNCCGABL_00062	CDS	843	yvgN	1.1.1.-	COG0656	Glyoxal reductase
GNCCGABL_00063	CDS	762				hypothetical protein
GNCCGABL_00064	CDS	918	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
GNCCGABL_00065	CDS	2037	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
GNCCGABL_00066	CDS	258				hypothetical protein
GNCCGABL_00067	CDS	1245				hypothetical protein
GNCCGABL_00068	CDS	606	urdA	1.3.99.33		Urocanate reductase
GNCCGABL_00069	CDS	924	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
GNCCGABL_00070	CDS	1380		1.6.99.3		putative NADH oxidase
GNCCGABL_00071	CDS	876	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
GNCCGABL_00072	CDS	582	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
