locus_tag	ftype	length_bp	gene	EC_number	COG	product
PAABCOIL_00001	CDS	165				hypothetical protein
PAABCOIL_00002	CDS	381				hypothetical protein
PAABCOIL_00003	CDS	849				hypothetical protein
PAABCOIL_00004	CDS	339	lagD_1	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
PAABCOIL_00005	CDS	444				hypothetical protein
PAABCOIL_00006	CDS	213				hypothetical protein
PAABCOIL_00007	CDS	126				hypothetical protein
PAABCOIL_00008	CDS	246				hypothetical protein
PAABCOIL_00009	CDS	1059				hypothetical protein
PAABCOIL_00010	CDS	978				hypothetical protein
PAABCOIL_00011	CDS	375				hypothetical protein
PAABCOIL_00012	CDS	903				hypothetical protein
PAABCOIL_00013	CDS	354				hypothetical protein
PAABCOIL_00014	CDS	729				hypothetical protein
PAABCOIL_00015	CDS	2073	smc_1			Chromosome partition protein Smc
PAABCOIL_00016	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
PAABCOIL_00017	CDS	456				hypothetical protein
PAABCOIL_00018	CDS	1914	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PAABCOIL_00019	CDS	1680	rnj1	3.1.-.-		Ribonuclease J 1
PAABCOIL_00020	CDS	234				hypothetical protein
PAABCOIL_00021	CDS	216				hypothetical protein
PAABCOIL_00022	CDS	153				hypothetical protein
PAABCOIL_00023	CDS	186				hypothetical protein
PAABCOIL_00024	CDS	684	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
PAABCOIL_00025	CDS	438				hypothetical protein
PAABCOIL_00026	CDS	1011	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
PAABCOIL_00027	CDS	387				ISL3 family transposase ISSth1
PAABCOIL_00028	CDS	930				hypothetical protein
PAABCOIL_00029	CDS	543				hypothetical protein
PAABCOIL_00030	CDS	675	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
PAABCOIL_00031	CDS	645				hypothetical protein
PAABCOIL_00032	CDS	1617	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
PAABCOIL_00033	CDS	147				hypothetical protein
PAABCOIL_00034	CDS	411				hypothetical protein
PAABCOIL_00035	CDS	750	btrD	3.5.1.112		2'-N-acetylparomamine deacetylase
PAABCOIL_00036	CDS	345	ugd_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
PAABCOIL_00037	CDS	747	ugd_2	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
PAABCOIL_00038	CDS	258				hypothetical protein
PAABCOIL_00039	CDS	570				hypothetical protein
PAABCOIL_00040	CDS	234				hypothetical protein
PAABCOIL_00041	CDS	678				hypothetical protein
PAABCOIL_00042	CDS	666				hypothetical protein
PAABCOIL_00043	CDS	1227				hypothetical protein
PAABCOIL_00044	CDS	657				hypothetical protein
PAABCOIL_00045	CDS	324				hypothetical protein
PAABCOIL_00046	CDS	831	tcyA		COG0834	L-cystine-binding protein TcyA
PAABCOIL_00047	CDS	855	metQ		COG1464	D-methionine-binding lipoprotein MetQ
PAABCOIL_00048	CDS	1374	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
PAABCOIL_00049	CDS	1062	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
PAABCOIL_00050	CDS	693	metP		COG2011	Methionine import system permease protein MetP
PAABCOIL_00051	CDS	570				hypothetical protein
PAABCOIL_00052	CDS	615				hypothetical protein
PAABCOIL_00053	CDS	1683				hypothetical protein
PAABCOIL_00054	CDS	1287	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
PAABCOIL_00055	CDS	534				hypothetical protein
PAABCOIL_00056	CDS	471			COG1780	Putative NrdI-like protein
PAABCOIL_00057	CDS	1263				hypothetical protein
PAABCOIL_00058	CDS	459				hypothetical protein
PAABCOIL_00059	CDS	441			COG3279	putative HTH-type transcriptional regulator
PAABCOIL_00060	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
PAABCOIL_00061	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
PAABCOIL_00062	CDS	1206	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
PAABCOIL_00063	CDS	636	ribE	2.5.1.9	COG0307	Riboflavin synthase
PAABCOIL_00064	CDS	1101	ribD		COG0117	Riboflavin biosynthesis protein RibD
PAABCOIL_00065	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
PAABCOIL_00066	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
PAABCOIL_00067	CDS	162				hypothetical protein
PAABCOIL_00068	CDS	426				hypothetical protein
PAABCOIL_00069	CDS	1032	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
PAABCOIL_00070	CDS	684				hypothetical protein
PAABCOIL_00071	CDS	945				hypothetical protein
PAABCOIL_00072	CDS	1167	xerC_1			Tyrosine recombinase XerC
PAABCOIL_00073	CDS	660				hypothetical protein
PAABCOIL_00074	CDS	204				hypothetical protein
PAABCOIL_00075	CDS	630				hypothetical protein
PAABCOIL_00076	CDS	453				hypothetical protein
PAABCOIL_00077	CDS	201				hypothetical protein
PAABCOIL_00078	CDS	216				hypothetical protein
PAABCOIL_00079	CDS	294				hypothetical protein
PAABCOIL_00080	CDS	342				hypothetical protein
PAABCOIL_00081	CDS	282				hypothetical protein
PAABCOIL_00082	CDS	861				hypothetical protein
PAABCOIL_00083	CDS	1479				hypothetical protein
PAABCOIL_00084	CDS	168				hypothetical protein
PAABCOIL_00085	CDS	531				hypothetical protein
PAABCOIL_00086	CDS	504				hypothetical protein
PAABCOIL_00087	CDS	357				hypothetical protein
PAABCOIL_00088	CDS	339				hypothetical protein
PAABCOIL_00089	CDS	2832	uvrA			UvrABC system protein A
PAABCOIL_00090	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
PAABCOIL_00091	CDS	399	spxA_1		COG1393	Regulatory protein Spx
PAABCOIL_00092	CDS	570				hypothetical protein
PAABCOIL_00093	CDS	267				hypothetical protein
PAABCOIL_00094	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
PAABCOIL_00095	CDS	306				hypothetical protein
PAABCOIL_00096	CDS	1251	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
PAABCOIL_00097	CDS	456				hypothetical protein
PAABCOIL_00098	CDS	1533	cls	2.7.8.-		Cardiolipin synthase
PAABCOIL_00099	CDS	144				hypothetical protein
PAABCOIL_00100	CDS	1539				hypothetical protein
PAABCOIL_00101	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
PAABCOIL_00102	CDS	507				hypothetical protein
PAABCOIL_00103	CDS	591				hypothetical protein
PAABCOIL_00104	CDS	618	udk_1	2.7.1.48		Uridine kinase
PAABCOIL_00105	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
PAABCOIL_00106	CDS	627	rplC		COG0087	50S ribosomal protein L3
PAABCOIL_00107	CDS	624	rplD		COG0088	50S ribosomal protein L4
PAABCOIL_00108	CDS	297	rplW			50S ribosomal protein L23
PAABCOIL_00109	CDS	834	rplB		COG0090	50S ribosomal protein L2
PAABCOIL_00110	CDS	282	rpsS		COG0185	30S ribosomal protein S19
PAABCOIL_00111	CDS	345	rplV		COG0091	50S ribosomal protein L22
PAABCOIL_00112	CDS	654	rpsC		COG0092	30S ribosomal protein S3
PAABCOIL_00113	CDS	414	rplP		COG0197	50S ribosomal protein L16
PAABCOIL_00114	CDS	207	rpmC		COG0255	50S ribosomal protein L29
PAABCOIL_00115	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
PAABCOIL_00116	CDS	369	rplN		COG0093	50S ribosomal protein L14
PAABCOIL_00117	CDS	306	rplX		COG0198	50S ribosomal protein L24
PAABCOIL_00118	CDS	543	rplE		COG0094	50S ribosomal protein L5
PAABCOIL_00119	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
PAABCOIL_00120	CDS	399	rpsH			30S ribosomal protein S8
PAABCOIL_00121	CDS	537	rplF		COG0097	50S ribosomal protein L6
PAABCOIL_00122	CDS	357	rplR		COG0256	50S ribosomal protein L18
PAABCOIL_00123	CDS	495	rpsE			30S ribosomal protein S5
PAABCOIL_00124	CDS	183	rpmD		COG1841	50S ribosomal protein L30
PAABCOIL_00125	CDS	441	rplO			50S ribosomal protein L15
PAABCOIL_00126	CDS	1311	secY			Protein translocase subunit SecY
PAABCOIL_00127	CDS	639	adk	2.7.4.3	COG0563	Adenylate kinase
PAABCOIL_00128	CDS	219	infA		COG0361	Translation initiation factor IF-1
PAABCOIL_00129	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
PAABCOIL_00130	CDS	366	rpsM		COG0099	30S ribosomal protein S13
PAABCOIL_00131	CDS	384	rpsK			30S ribosomal protein S11
PAABCOIL_00132	CDS	936	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
PAABCOIL_00133	CDS	387	rplQ		COG0203	50S ribosomal protein L17
PAABCOIL_00134	CDS	267				hypothetical protein
PAABCOIL_00135	CDS	1338				hypothetical protein
PAABCOIL_00136	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
PAABCOIL_00137	CDS	1023				hypothetical protein
PAABCOIL_00138	CDS	369				hypothetical protein
PAABCOIL_00139	CDS	1092	malK	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
PAABCOIL_00140	CDS	450				hypothetical protein
PAABCOIL_00141	CDS	195				hypothetical protein
PAABCOIL_00142	CDS	102				hypothetical protein
PAABCOIL_00143	CDS	777	hpdA	1.97.1.-	COG1180	4-hydroxyphenylacetate decarboxylase activating enzyme
PAABCOIL_00144	CDS	747	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
PAABCOIL_00145	CDS	981	sorC_1		COG2390	Sorbitol operon regulator
PAABCOIL_00146	CDS	321	licA		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
