locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEEDJJLJ_00001	CDS	834	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
OEEDJJLJ_00002	CDS	705		2.7.7.-	COG1213	CTP:phosphoglutamine cytidylyltransferase
OEEDJJLJ_00003	CDS	1029				hypothetical protein
OEEDJJLJ_00004	CDS	1149	tagF	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
OEEDJJLJ_00005	CDS	462				hypothetical protein
OEEDJJLJ_00006	CDS	1464	rfbX		COG2244	Putative O-antigen transporter
OEEDJJLJ_00007	CDS	909				hypothetical protein
OEEDJJLJ_00008	CDS	957	epsJ_1	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
OEEDJJLJ_00009	CDS	1026	epsJ_2	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
OEEDJJLJ_00010	CDS	1173				hypothetical protein
OEEDJJLJ_00011	CDS	504				hypothetical protein
OEEDJJLJ_00012	CDS	450				hypothetical protein
OEEDJJLJ_00013	CDS	1368				hypothetical protein
OEEDJJLJ_00014	CDS	684	cpsD	2.7.10.2		Tyrosine-protein kinase CpsD
OEEDJJLJ_00015	CDS	693	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
OEEDJJLJ_00016	CDS	732	cpsB	3.1.3.48		Tyrosine-protein phosphatase CpsB
OEEDJJLJ_00017	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
OEEDJJLJ_00018	CDS	363				hypothetical protein
OEEDJJLJ_00019	CDS	174				hypothetical protein
OEEDJJLJ_00020	CDS	1608	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
OEEDJJLJ_00021	CDS	1485				hypothetical protein
OEEDJJLJ_00022	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
OEEDJJLJ_00023	CDS	351				hypothetical protein
OEEDJJLJ_00024	CDS	2106	clpC_1			putative ATP-dependent Clp protease ATP-binding subunit
OEEDJJLJ_00025	CDS	90				hypothetical protein
OEEDJJLJ_00026	CDS	981	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
OEEDJJLJ_00027	CDS	2253	pbpX		COG0768	Penicillin-binding protein 2X
OEEDJJLJ_00028	CDS	318	ftsL			Cell division protein FtsL
OEEDJJLJ_00029	CDS	951	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
OEEDJJLJ_00030	CDS	195				hypothetical protein
OEEDJJLJ_00031	CDS	243				hypothetical protein
OEEDJJLJ_00032	CDS	336				hypothetical protein
OEEDJJLJ_00033	CDS	1002	kdgR		COG1609	HTH-type transcriptional regulator KdgR
OEEDJJLJ_00034	CDS	1902				hypothetical protein
OEEDJJLJ_00035	CDS	294				hypothetical protein
OEEDJJLJ_00036	CDS	819	manZ_1		COG3716	PTS system mannose-specific EIID component
OEEDJJLJ_00037	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
OEEDJJLJ_00038	CDS	492	levE_1	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
OEEDJJLJ_00039	CDS	1191	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
OEEDJJLJ_00040	CDS	435				hypothetical protein
OEEDJJLJ_00041	CDS	816	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
OEEDJJLJ_00042	CDS	642				hypothetical protein
OEEDJJLJ_00043	CDS	1002	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
OEEDJJLJ_00044	CDS	630	kdgA		COG0800	KHG/KDPG aldolase
OEEDJJLJ_00045	CDS	216				IS200/IS605 family transposase ISStin10
OEEDJJLJ_00046	CDS	3204		4.2.2.1		Hyaluronate lyase
OEEDJJLJ_00047	CDS	477	bsaA			Glutathione peroxidase BsaA
OEEDJJLJ_00048	CDS	2214				hypothetical protein
OEEDJJLJ_00049	CDS	126				hypothetical protein
OEEDJJLJ_00050	CDS	177				hypothetical protein
OEEDJJLJ_00051	CDS	423	xerC_1			Tyrosine recombinase XerC
OEEDJJLJ_00052	CDS	393	rpsI		COG0103	30S ribosomal protein S9
OEEDJJLJ_00053	CDS	447	rplM			50S ribosomal protein L13
OEEDJJLJ_00054	CDS	318				hypothetical protein
OEEDJJLJ_00055	CDS	813	sulD		COG0801	Bifunctional folate synthesis protein
OEEDJJLJ_00056	CDS	555	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
OEEDJJLJ_00057	CDS	1323	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
OEEDJJLJ_00058	CDS	945	sulA	2.5.1.15	COG0294	Dihydropteroate synthase
OEEDJJLJ_00059	CDS	708				hypothetical protein
OEEDJJLJ_00060	CDS	1419	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
OEEDJJLJ_00061	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
OEEDJJLJ_00062	CDS	1020	adhA	1.1.1.1		Alcohol dehydrogenase 1
OEEDJJLJ_00063	CDS	990	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
OEEDJJLJ_00064	CDS	804	sorA		COG3715	PTS system sorbose-specific EIIC component
OEEDJJLJ_00065	CDS	912	manZ_2		COG3716	PTS system mannose-specific EIID component
OEEDJJLJ_00066	CDS	1335	pepC	3.4.22.40	COG3579	Aminopeptidase C
OEEDJJLJ_00067	CDS	723	rsuA_1	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
OEEDJJLJ_00068	CDS	231				hypothetical protein
OEEDJJLJ_00069	CDS	1242	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
OEEDJJLJ_00070	CDS	153				hypothetical protein
OEEDJJLJ_00071	CDS	279	yafQ	3.1.-.-		mRNA interferase toxin YafQ
OEEDJJLJ_00072	CDS	264				hypothetical protein
OEEDJJLJ_00073	CDS	4392	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
OEEDJJLJ_00074	CDS	2082	fus			Elongation factor G
OEEDJJLJ_00075	CDS	471	rpsG		COG0049	30S ribosomal protein S7
OEEDJJLJ_00076	CDS	414	rpsL		COG0048	30S ribosomal protein S12
OEEDJJLJ_00077	CDS	3798	glgX_1	3.2.1.196		Glycogen debranching enzyme
OEEDJJLJ_00078	CDS	1050	luxA	1.14.14.3		Alkanal monooxygenase alpha chain
OEEDJJLJ_00079	CDS	1809	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
OEEDJJLJ_00080	CDS	1380	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
OEEDJJLJ_00081	CDS	1854	proS	6.1.1.15	COG0442	Proline--tRNA ligase
OEEDJJLJ_00082	CDS	1260		3.4.24.-		Putative zinc metalloprotease
OEEDJJLJ_00083	CDS	804				hypothetical protein
OEEDJJLJ_00084	CDS	759	uppS	2.5.1.-	COG0020	Isoprenyl transferase
OEEDJJLJ_00085	CDS	426				hypothetical protein
OEEDJJLJ_00086	CDS	108				hypothetical protein
OEEDJJLJ_00087	CDS	972	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
OEEDJJLJ_00088	CDS	417				hypothetical protein
OEEDJJLJ_00089	CDS	696				hypothetical protein
OEEDJJLJ_00090	CDS	843				hypothetical protein
OEEDJJLJ_00091	CDS	2502	leuS	6.1.1.4		Leucine--tRNA ligase
OEEDJJLJ_00092	CDS	1089	gldA	1.1.1.6		Glycerol dehydrogenase
OEEDJJLJ_00093	CDS	669	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
OEEDJJLJ_00094	CDS	2439	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
OEEDJJLJ_00095	CDS	1299	licC_1		COG1455	Lichenan permease IIC component
OEEDJJLJ_00096	CDS	309	gmuB	2.7.1.205	COG1440	PTS system oligo-beta-mannoside-specific EIIB component
