locus_tag	ftype	length_bp	gene	EC_number	COG	product
LKIKIDCD_00001	CDS	207				hypothetical protein
LKIKIDCD_00002	CDS	279				hypothetical protein
LKIKIDCD_00003	CDS	396				hypothetical protein
LKIKIDCD_00004	CDS	1677	smc_1			Chromosome partition protein Smc
LKIKIDCD_00005	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
LKIKIDCD_00006	CDS	456				hypothetical protein
LKIKIDCD_00007	CDS	1914	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
LKIKIDCD_00008	CDS	1680	rnj1	3.1.-.-		Ribonuclease J 1
LKIKIDCD_00009	CDS	234				hypothetical protein
LKIKIDCD_00010	CDS	108				hypothetical protein
LKIKIDCD_00011	CDS	153				hypothetical protein
LKIKIDCD_00012	CDS	186				hypothetical protein
LKIKIDCD_00013	CDS	684	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
LKIKIDCD_00014	CDS	438				hypothetical protein
LKIKIDCD_00015	CDS	1011	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
LKIKIDCD_00016	CDS	315				ISL3 family transposase ISSsu6
LKIKIDCD_00017	CDS	930				hypothetical protein
LKIKIDCD_00018	CDS	555				hypothetical protein
LKIKIDCD_00019	CDS	675	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
LKIKIDCD_00020	CDS	873				hypothetical protein
LKIKIDCD_00021	CDS	1617	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
LKIKIDCD_00022	CDS	165				hypothetical protein
LKIKIDCD_00023	CDS	411				hypothetical protein
LKIKIDCD_00024	CDS	750	btrD	3.5.1.112		2'-N-acetylparomamine deacetylase
LKIKIDCD_00025	CDS	1173	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
LKIKIDCD_00026	CDS	864				hypothetical protein
LKIKIDCD_00027	CDS	234				hypothetical protein
LKIKIDCD_00028	CDS	678				hypothetical protein
LKIKIDCD_00029	CDS	666				hypothetical protein
LKIKIDCD_00030	CDS	1227				hypothetical protein
LKIKIDCD_00031	CDS	543				hypothetical protein
LKIKIDCD_00032	CDS	324				hypothetical protein
LKIKIDCD_00033	CDS	831	tcyA		COG0834	L-cystine-binding protein TcyA
LKIKIDCD_00034	CDS	855	metQ		COG1464	D-methionine-binding lipoprotein MetQ
LKIKIDCD_00035	CDS	1374	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
LKIKIDCD_00036	CDS	1062	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
LKIKIDCD_00037	CDS	693	metP		COG2011	Methionine import system permease protein MetP
LKIKIDCD_00038	CDS	570				hypothetical protein
LKIKIDCD_00039	CDS	615				hypothetical protein
LKIKIDCD_00040	CDS	1683				hypothetical protein
LKIKIDCD_00041	CDS	1287	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
LKIKIDCD_00042	CDS	534				hypothetical protein
LKIKIDCD_00043	CDS	471			COG1780	Putative NrdI-like protein
LKIKIDCD_00044	CDS	1263				hypothetical protein
LKIKIDCD_00045	CDS	459				hypothetical protein
LKIKIDCD_00046	CDS	441			COG3279	putative HTH-type transcriptional regulator
LKIKIDCD_00047	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
LKIKIDCD_00048	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
LKIKIDCD_00049	CDS	1206	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
LKIKIDCD_00050	CDS	636	ribE	2.5.1.9	COG0307	Riboflavin synthase
LKIKIDCD_00051	CDS	1101	ribD		COG0117	Riboflavin biosynthesis protein RibD
LKIKIDCD_00052	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
LKIKIDCD_00053	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
LKIKIDCD_00054	CDS	678				hypothetical protein
LKIKIDCD_00055	CDS	1032	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
LKIKIDCD_00056	CDS	684				hypothetical protein
LKIKIDCD_00057	CDS	945				hypothetical protein
LKIKIDCD_00058	CDS	2832	uvrA			UvrABC system protein A
LKIKIDCD_00059	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
LKIKIDCD_00060	CDS	399	spxA_1		COG1393	Regulatory protein Spx
LKIKIDCD_00061	CDS	570				hypothetical protein
LKIKIDCD_00062	CDS	267				hypothetical protein
LKIKIDCD_00063	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
LKIKIDCD_00064	CDS	306				hypothetical protein
LKIKIDCD_00065	CDS	387				hypothetical protein
LKIKIDCD_00066	CDS	1251	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
LKIKIDCD_00067	CDS	459				hypothetical protein
LKIKIDCD_00068	CDS	1533	cls	2.7.8.-		Cardiolipin synthase
LKIKIDCD_00069	CDS	144				hypothetical protein
LKIKIDCD_00070	CDS	1539				hypothetical protein
LKIKIDCD_00071	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
LKIKIDCD_00072	CDS	507				hypothetical protein
LKIKIDCD_00073	CDS	591				hypothetical protein
LKIKIDCD_00074	CDS	618	udk_1	2.7.1.48		Uridine kinase
LKIKIDCD_00075	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
LKIKIDCD_00076	CDS	627	rplC		COG0087	50S ribosomal protein L3
LKIKIDCD_00077	CDS	624	rplD		COG0088	50S ribosomal protein L4
LKIKIDCD_00078	CDS	297	rplW			50S ribosomal protein L23
LKIKIDCD_00079	CDS	834	rplB		COG0090	50S ribosomal protein L2
LKIKIDCD_00080	CDS	282	rpsS		COG0185	30S ribosomal protein S19
LKIKIDCD_00081	CDS	345	rplV		COG0091	50S ribosomal protein L22
LKIKIDCD_00082	CDS	654	rpsC		COG0092	30S ribosomal protein S3
LKIKIDCD_00083	CDS	414	rplP		COG0197	50S ribosomal protein L16
LKIKIDCD_00084	CDS	207	rpmC		COG0255	50S ribosomal protein L29
LKIKIDCD_00085	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
LKIKIDCD_00086	CDS	369	rplN		COG0093	50S ribosomal protein L14
LKIKIDCD_00087	CDS	306	rplX		COG0198	50S ribosomal protein L24
LKIKIDCD_00088	CDS	543	rplE		COG0094	50S ribosomal protein L5
LKIKIDCD_00089	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
LKIKIDCD_00090	CDS	399	rpsH			30S ribosomal protein S8
LKIKIDCD_00091	CDS	537	rplF		COG0097	50S ribosomal protein L6
LKIKIDCD_00092	CDS	357	rplR		COG0256	50S ribosomal protein L18
LKIKIDCD_00093	CDS	495	rpsE			30S ribosomal protein S5
LKIKIDCD_00094	CDS	183	rpmD		COG1841	50S ribosomal protein L30
LKIKIDCD_00095	CDS	441	rplO			50S ribosomal protein L15
LKIKIDCD_00096	CDS	1311	secY			Protein translocase subunit SecY
LKIKIDCD_00097	CDS	639	adk	2.7.4.3	COG0563	Adenylate kinase
LKIKIDCD_00098	CDS	219	infA		COG0361	Translation initiation factor IF-1
LKIKIDCD_00099	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
LKIKIDCD_00100	CDS	366	rpsM		COG0099	30S ribosomal protein S13
LKIKIDCD_00101	CDS	384	rpsK			30S ribosomal protein S11
LKIKIDCD_00102	CDS	936	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
LKIKIDCD_00103	CDS	387	rplQ		COG0203	50S ribosomal protein L17
LKIKIDCD_00104	CDS	267				hypothetical protein
LKIKIDCD_00105	CDS	1338				hypothetical protein
LKIKIDCD_00106	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
LKIKIDCD_00107	CDS	414				hypothetical protein
LKIKIDCD_00108	CDS	603				hypothetical protein
LKIKIDCD_00109	CDS	369				hypothetical protein
LKIKIDCD_00110	CDS	1092	malK	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
LKIKIDCD_00111	CDS	369				hypothetical protein
LKIKIDCD_00112	CDS	609			COG1840	putative protein
LKIKIDCD_00113	CDS	777	hpdA	1.97.1.-	COG1180	4-hydroxyphenylacetate decarboxylase activating enzyme
LKIKIDCD_00114	CDS	747	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
LKIKIDCD_00115	CDS	981	sorC		COG2390	Sorbitol operon regulator
LKIKIDCD_00116	CDS	321	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
LKIKIDCD_00117	CDS	309	gmuB	2.7.1.205	COG1440	PTS system oligo-beta-mannoside-specific EIIB component
LKIKIDCD_00118	CDS	1299	licC_1		COG1455	Lichenan permease IIC component
LKIKIDCD_00119	CDS	2439	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
LKIKIDCD_00120	CDS	669	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
LKIKIDCD_00121	CDS	1089	gldA	1.1.1.6		Glycerol dehydrogenase
LKIKIDCD_00122	CDS	2502	leuS	6.1.1.4		Leucine--tRNA ligase
LKIKIDCD_00123	CDS	696				hypothetical protein
