locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGFEIICD_00001	CDS	198	glyE_1			Glycosyltransferase GlyE
PGFEIICD_00002	CDS	1545	prfC			Peptide chain release factor 3
PGFEIICD_00003	CDS	303	gatC_1	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
PGFEIICD_00004	CDS	1467	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
PGFEIICD_00005	CDS	1443	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
PGFEIICD_00006	CDS	561	efp			Elongation factor P
PGFEIICD_00007	CDS	390				putative protein
PGFEIICD_00008	CDS	423	nusB		COG0781	Transcription antitermination protein NusB
PGFEIICD_00009	CDS	270				hypothetical protein
PGFEIICD_00010	CDS	186				hypothetical protein
PGFEIICD_00011	CDS	768	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
PGFEIICD_00012	CDS	867	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
PGFEIICD_00013	CDS	1368	accC	6.3.4.14	COG0439	Biotin carboxylase
PGFEIICD_00014	CDS	423	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
PGFEIICD_00015	CDS	486	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
PGFEIICD_00016	CDS	1236	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
PGFEIICD_00017	CDS	732	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PGFEIICD_00018	CDS	921	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
PGFEIICD_00019	CDS	975		1.6.5.11	COG2070	NADH:quinone reductase
PGFEIICD_00020	CDS	225	acpA		COG0236	Acyl carrier protein
PGFEIICD_00021	CDS	975	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
PGFEIICD_00022	CDS	435				hypothetical protein
PGFEIICD_00023	CDS	786	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
PGFEIICD_00024	CDS	1365	yclM	2.7.2.4	COG0527	Aspartokinase 3
PGFEIICD_00025	CDS	372				hypothetical protein
PGFEIICD_00026	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
PGFEIICD_00027	CDS	900				hypothetical protein
PGFEIICD_00028	CDS	549				hypothetical protein
PGFEIICD_00029	CDS	1323	alsT		COG1115	Amino-acid carrier protein AlsT
PGFEIICD_00030	CDS	2337	mutS2	3.1.-.-		Endonuclease MutS2
PGFEIICD_00031	CDS	549				hypothetical protein
PGFEIICD_00032	CDS	303				hypothetical protein
PGFEIICD_00033	CDS	882	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
PGFEIICD_00034	CDS	615	spsB	3.4.21.89		Signal peptidase IB
PGFEIICD_00035	CDS	2367	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
PGFEIICD_00036	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
PGFEIICD_00037	CDS	1137	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
PGFEIICD_00038	CDS	438	mtlF		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
PGFEIICD_00039	CDS	1956	mtlR			Transcriptional regulator MtlR
PGFEIICD_00040	CDS	1770				hypothetical protein
PGFEIICD_00041	CDS	270				hypothetical protein
PGFEIICD_00042	CDS	273				IS3 family transposase ISSpn11
PGFEIICD_00043	CDS	231				hypothetical protein
PGFEIICD_00044	CDS	186				IS3 family transposase ISSpn11
PGFEIICD_00045	CDS	480				hypothetical protein
PGFEIICD_00046	CDS	426				hypothetical protein
PGFEIICD_00047	CDS	906				hypothetical protein
PGFEIICD_00048	CDS	240				hypothetical protein
PGFEIICD_00049	CDS	243				hypothetical protein
PGFEIICD_00050	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
PGFEIICD_00051	CDS	996				hypothetical protein
PGFEIICD_00052	CDS	699	liaF		COG4758	Protein LiaF
PGFEIICD_00053	CDS	1011	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
PGFEIICD_00054	CDS	1008		2.7.4.2		Phosphomevalonate kinase
PGFEIICD_00055	CDS	954				hypothetical protein
PGFEIICD_00056	CDS	879	galK_1	2.7.1.6		Galactokinase
PGFEIICD_00057	CDS	279				hypothetical protein
PGFEIICD_00058	CDS	471				hypothetical protein
PGFEIICD_00059	CDS	1233				hypothetical protein
PGFEIICD_00060	CDS	999				hypothetical protein
PGFEIICD_00061	CDS	966				hypothetical protein
PGFEIICD_00062	CDS	690	arlR_1		COG0745	Response regulator ArlR
PGFEIICD_00063	CDS	1425	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
PGFEIICD_00064	CDS	1395	mapZ			Mid-cell-anchored protein Z
PGFEIICD_00065	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
PGFEIICD_00066	CDS	330	gpsB		COG3599	Cell cycle protein GpsB
PGFEIICD_00067	CDS	528				hypothetical protein
PGFEIICD_00068	CDS	597	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
PGFEIICD_00069	CDS	2160	ponA		COG0744	Penicillin-binding protein 1A
PGFEIICD_00070	CDS	5304		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
PGFEIICD_00071	CDS	1983	sarA_1		COG4166	Oligopeptide-binding protein SarA
