locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGKEKLCL_00001	CDS	954				hypothetical protein
PGKEKLCL_00002	CDS	966	sstT		COG3633	Serine/threonine transporter SstT
PGKEKLCL_00003	CDS	561	ykuT		COG0668	putative MscS family protein YkuT
PGKEKLCL_00004	CDS	909				hypothetical protein
PGKEKLCL_00005	CDS	528	gph_1	3.1.3.18		Phosphoglycolate phosphatase
PGKEKLCL_00006	CDS	1107	yqeH		COG1161	putative protein YqeH
PGKEKLCL_00007	CDS	312	yhbY		COG1534	RNA-binding protein YhbY
PGKEKLCL_00008	CDS	630	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
PGKEKLCL_00009	CDS	594				hypothetical protein
PGKEKLCL_00010	CDS	501	sttH	3.5.2.19		Streptothricin hydrolase
PGKEKLCL_00011	CDS	354	rsfS		COG0799	Ribosomal silencing factor RsfS
PGKEKLCL_00012	CDS	747	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
PGKEKLCL_00013	CDS	1098	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
PGKEKLCL_00014	CDS	2748				hypothetical protein
PGKEKLCL_00015	CDS	1614	rny	3.1.-.-	COG1418	Ribonuclease Y
PGKEKLCL_00016	CDS	627	gmk	2.7.4.8		Guanylate kinase
PGKEKLCL_00017	CDS	315	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
PGKEKLCL_00018	CDS	2397	priA	3.6.4.-	COG1198	Primosomal protein N'
PGKEKLCL_00019	CDS	936	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
PGKEKLCL_00020	CDS	1314	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
PGKEKLCL_00021	CDS	741	phpP	3.1.3.16	COG0631	Protein phosphatase PhpP
PGKEKLCL_00022	CDS	1980	stkP	2.7.11.1	COG0515	Serine/threonine-protein kinase StkP
PGKEKLCL_00023	CDS	759	yjjP		COG2966	Inner membrane protein YjjP
PGKEKLCL_00024	CDS	450				hypothetical protein
PGKEKLCL_00025	CDS	201			COG3039	IS5 family transposase ISSpn7
PGKEKLCL_00026	CDS	390			COG3039	IS5 family transposase ISSpn7
PGKEKLCL_00027	CDS	249				hypothetical protein
PGKEKLCL_00028	CDS	1173	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
PGKEKLCL_00029	CDS	1275	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
PGKEKLCL_00030	CDS	966	degA		COG1609	HTH-type transcriptional regulator DegA
PGKEKLCL_00031	CDS	1455	scrB	3.2.1.26		Sucrose-6-phosphate hydrolase
PGKEKLCL_00032	CDS	1938				hypothetical protein
PGKEKLCL_00033	CDS	888	gmuE	2.7.1.4	COG1940	Putative fructokinase
PGKEKLCL_00034	CDS	618				hypothetical protein
PGKEKLCL_00035	CDS	894		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
PGKEKLCL_00036	CDS	1200	yhaP		COG1668	putative protein YhaP
PGKEKLCL_00037	CDS	768				hypothetical protein
PGKEKLCL_00038	CDS	696	skfE	7.3.2.3	COG1131	SkfA peptide export ATP-binding protein SkfE
PGKEKLCL_00039	CDS	366	ytrA		COG1725	HTH-type transcriptional repressor YtrA
PGKEKLCL_00040	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
PGKEKLCL_00041	CDS	1170				hypothetical protein
PGKEKLCL_00042	CDS	897	dnaI		COG1484	Primosomal protein DnaI
PGKEKLCL_00043	CDS	714	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
PGKEKLCL_00044	CDS	1311	der		COG1160	GTPase Der
PGKEKLCL_00045	CDS	345				hypothetical protein
PGKEKLCL_00046	CDS	351				hypothetical protein
PGKEKLCL_00047	CDS	852				hypothetical protein
PGKEKLCL_00048	CDS	393				hypothetical protein
PGKEKLCL_00049	CDS	792				hypothetical protein
PGKEKLCL_00050	CDS	642				hypothetical protein
PGKEKLCL_00051	CDS	651	bcrA_1			Bacitracin transport ATP-binding protein BcrA
PGKEKLCL_00052	CDS	288				hypothetical protein
PGKEKLCL_00053	CDS	2514	secA_1		COG0653	Protein translocase subunit SecA
PGKEKLCL_00054	CDS	1032	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
PGKEKLCL_00055	CDS	1032	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
PGKEKLCL_00056	CDS	369	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PGKEKLCL_00057	CDS	1104	alr	5.1.1.1	COG0787	Alanine racemase
PGKEKLCL_00058	CDS	2016	recG	3.6.4.12		ATP-dependent DNA helicase RecG
PGKEKLCL_00059	CDS	981	axeA	3.1.1.41	COG3458	Cephalosporin-C deacetylase
