locus_tag	ftype	length_bp	gene	EC_number	COG	product
MGCMKLMB_00001	CDS	804				hypothetical protein
MGCMKLMB_00002	CDS	756				hypothetical protein
MGCMKLMB_00003	CDS	744				hypothetical protein
MGCMKLMB_00004	CDS	1098				hypothetical protein
MGCMKLMB_00005	CDS	2652	valS	6.1.1.9	COG0525	Valine--tRNA ligase
MGCMKLMB_00006	CDS	579				hypothetical protein
MGCMKLMB_00007	CDS	561				hypothetical protein
MGCMKLMB_00008	CDS	450				hypothetical protein
MGCMKLMB_00009	CDS	396				hypothetical protein
MGCMKLMB_00010	CDS	255				hypothetical protein
MGCMKLMB_00011	CDS	1335				hypothetical protein
MGCMKLMB_00012	CDS	234				hypothetical protein
MGCMKLMB_00013	CDS	183				hypothetical protein
MGCMKLMB_00014	CDS	294				hypothetical protein
MGCMKLMB_00015	CDS	507				hypothetical protein
MGCMKLMB_00016	CDS	351	rbfA			Ribosome-binding factor A
MGCMKLMB_00017	CDS	2793	infB			Translation initiation factor IF-2
MGCMKLMB_00018	CDS	300	rplGA		COG1358	putative ribosomal protein YlxQ
MGCMKLMB_00019	CDS	294				hypothetical protein
MGCMKLMB_00020	CDS	1125	nusA		COG0195	Transcription termination/antitermination protein NusA
MGCMKLMB_00021	CDS	480	rimP		COG0779	Ribosome maturation factor RimP
MGCMKLMB_00022	CDS	636	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
MGCMKLMB_00023	CDS	795				hypothetical protein
MGCMKLMB_00024	CDS	612				hypothetical protein
MGCMKLMB_00025	CDS	249				hypothetical protein
MGCMKLMB_00026	CDS	690				hypothetical protein
MGCMKLMB_00027	CDS	234				hypothetical protein
MGCMKLMB_00028	CDS	630				hypothetical protein
MGCMKLMB_00029	CDS	426				hypothetical protein
MGCMKLMB_00030	CDS	405				hypothetical protein
MGCMKLMB_00031	CDS	165				hypothetical protein
MGCMKLMB_00032	CDS	315				hypothetical protein
MGCMKLMB_00033	CDS	1068				hypothetical protein
MGCMKLMB_00034	CDS	471				hypothetical protein
MGCMKLMB_00035	CDS	453				hypothetical protein
MGCMKLMB_00036	CDS	180				hypothetical protein
MGCMKLMB_00037	CDS	249				hypothetical protein
MGCMKLMB_00038	CDS	222				hypothetical protein
MGCMKLMB_00039	CDS	1272			COG2256	putative AAA domain-containing protein
MGCMKLMB_00040	tRNA	76				tRNA-Lys(ctt)
MGCMKLMB_00041	CDS	1128	Int-Tn_1			Transposase from transposon Tn916
MGCMKLMB_00042	CDS	183				hypothetical protein
MGCMKLMB_00043	CDS	1020				hypothetical protein
MGCMKLMB_00044	CDS	420				hypothetical protein
MGCMKLMB_00045	CDS	1392				hypothetical protein
MGCMKLMB_00046	CDS	237				hypothetical protein
MGCMKLMB_00047	CDS	540				hypothetical protein
MGCMKLMB_00048	CDS	450				hypothetical protein
MGCMKLMB_00049	CDS	1257				ISL3 family transposase ISSpn14
MGCMKLMB_00050	CDS	1473				Putative trans-acting regulator
MGCMKLMB_00051	CDS	165				hypothetical protein
MGCMKLMB_00052	CDS	567				hypothetical protein
MGCMKLMB_00053	CDS	171				hypothetical protein
MGCMKLMB_00054	CDS	609				hypothetical protein
MGCMKLMB_00055	CDS	204				hypothetical protein
MGCMKLMB_00056	CDS	456				hypothetical protein
MGCMKLMB_00057	CDS	660				hypothetical protein
MGCMKLMB_00058	CDS	1152				hypothetical protein
MGCMKLMB_00059	CDS	624				hypothetical protein
MGCMKLMB_00060	CDS	114				hypothetical protein
MGCMKLMB_00061	CDS	777	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
MGCMKLMB_00062	CDS	1224	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
MGCMKLMB_00063	CDS	600	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
MGCMKLMB_00064	CDS	768	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
MGCMKLMB_00065	CDS	1005	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
MGCMKLMB_00066	CDS	567	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
MGCMKLMB_00067	CDS	1362	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
MGCMKLMB_00068	CDS	207				hypothetical protein
MGCMKLMB_00069	CDS	1002	ccpA_1		COG1609	Catabolite control protein A
MGCMKLMB_00070	CDS	369				hypothetical protein
MGCMKLMB_00071	CDS	264				hypothetical protein
MGCMKLMB_00072	CDS	447	sapB		COG1285	Protein SapB
MGCMKLMB_00073	CDS	1692				hypothetical protein
MGCMKLMB_00074	CDS	585				hypothetical protein
MGCMKLMB_00075	CDS	396	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MGCMKLMB_00076	CDS	1068				hypothetical protein
MGCMKLMB_00077	CDS	660				hypothetical protein
MGCMKLMB_00078	CDS	1011	lnpD_1	5.1.3.2		UDP-glucose 4-epimerase
