locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHAOKJFD_00001	CDS	837	artP_1		COG0834	Arginine-binding extracellular protein ArtP
IHAOKJFD_00002	CDS	630	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
IHAOKJFD_00003	CDS	642	yecS		COG0765	L-cystine transport system permease protein YecS
IHAOKJFD_00004	CDS	1230	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
IHAOKJFD_00005	CDS	1167			COG0628	Putative transport protein
IHAOKJFD_00006	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
IHAOKJFD_00007	CDS	420	atpC		COG0355	ATP synthase epsilon chain
IHAOKJFD_00008	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
IHAOKJFD_00009	CDS	879	atpG		COG0224	ATP synthase gamma chain
IHAOKJFD_00010	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
IHAOKJFD_00011	CDS	537	atpH		COG0712	ATP synthase subunit delta
IHAOKJFD_00012	CDS	495	atpF		COG0711	ATP synthase subunit b
IHAOKJFD_00013	CDS	717	atpB		COG0356	ATP synthase subunit a
IHAOKJFD_00014	CDS	201	atpE		COG0636	ATP synthase subunit c
IHAOKJFD_00015	CDS	399			COG2826	IS30 family transposase ISSpn8
IHAOKJFD_00016	CDS	429				hypothetical protein
IHAOKJFD_00017	CDS	483	greA			Transcription elongation factor GreA
IHAOKJFD_00018	CDS	1656	mltG	4.2.2.-		Endolytic murein transglycosylase
IHAOKJFD_00019	CDS	495				hypothetical protein
IHAOKJFD_00020	CDS	465				hypothetical protein
IHAOKJFD_00021	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
IHAOKJFD_00022	CDS	618				hypothetical protein
IHAOKJFD_00023	CDS	3099	rapA	3.6.4.-		RNA polymerase-associated protein RapA
IHAOKJFD_00024	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
IHAOKJFD_00025	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
IHAOKJFD_00026	CDS	546	lmrA_1	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
IHAOKJFD_00027	CDS	540	lmrA_2	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
IHAOKJFD_00028	CDS	546	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
IHAOKJFD_00029	CDS	1959	sarA_1		COG4166	Oligopeptide-binding protein SarA
IHAOKJFD_00030	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
IHAOKJFD_00031	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
IHAOKJFD_00032	CDS	198				hypothetical protein
IHAOKJFD_00033	CDS	597				hypothetical protein
IHAOKJFD_00034	CDS	513				hypothetical protein
IHAOKJFD_00035	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
IHAOKJFD_00036	CDS	300				hypothetical protein
IHAOKJFD_00037	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
IHAOKJFD_00038	CDS	360	yugI		COG1098	General stress protein 13
IHAOKJFD_00039	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
IHAOKJFD_00040	CDS	240	rpsR		COG0238	30S ribosomal protein S18
IHAOKJFD_00041	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
IHAOKJFD_00042	CDS	291	rpsF		COG0360	30S ribosomal protein S6
IHAOKJFD_00043	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
IHAOKJFD_00044	CDS	366				hypothetical protein
IHAOKJFD_00045	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
IHAOKJFD_00046	CDS	453				hypothetical protein
IHAOKJFD_00047	CDS	549				hypothetical protein
IHAOKJFD_00048	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
IHAOKJFD_00049	CDS	165				hypothetical protein
IHAOKJFD_00050	CDS	1596				hypothetical protein
IHAOKJFD_00051	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
IHAOKJFD_00052	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
IHAOKJFD_00053	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
IHAOKJFD_00054	CDS	1185	fieF			Ferrous-iron efflux pump FieF
IHAOKJFD_00055	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
IHAOKJFD_00056	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
IHAOKJFD_00057	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
IHAOKJFD_00058	CDS	849			COG1307	DegV domain-containing protein
IHAOKJFD_00059	CDS	375				hypothetical protein
IHAOKJFD_00060	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
IHAOKJFD_00061	CDS	780				hypothetical protein
IHAOKJFD_00062	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
IHAOKJFD_00063	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
IHAOKJFD_00064	CDS	912	whiA		COG1481	putative cell division protein WhiA
IHAOKJFD_00065	CDS	978			COG0391	Putative gluconeogenesis factor
IHAOKJFD_00066	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
IHAOKJFD_00067	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
IHAOKJFD_00068	CDS	588	engB		COG0218	putative GTP-binding protein EngB
IHAOKJFD_00069	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
IHAOKJFD_00070	CDS	171				hypothetical protein
IHAOKJFD_00071	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
IHAOKJFD_00072	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
