locus_tag	ftype	length_bp	gene	EC_number	COG	product
EANBDPEB_00001	CDS	723	rsuA_1	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
EANBDPEB_00002	CDS	1335	pepC	3.4.22.40	COG3579	Aminopeptidase C
EANBDPEB_00003	CDS	912	manZ_1		COG3716	PTS system mannose-specific EIID component
EANBDPEB_00004	CDS	804	sorA		COG3715	PTS system sorbose-specific EIIC component
EANBDPEB_00005	CDS	990	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
EANBDPEB_00006	CDS	1020	adhA	1.1.1.1		Alcohol dehydrogenase 1
EANBDPEB_00007	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
EANBDPEB_00008	CDS	1419	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
EANBDPEB_00009	CDS	708				hypothetical protein
EANBDPEB_00010	CDS	945	sulA	2.5.1.15	COG0294	Dihydropteroate synthase
EANBDPEB_00011	CDS	1323	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
EANBDPEB_00012	CDS	555	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
EANBDPEB_00013	CDS	813	sulD		COG0801	Bifunctional folate synthesis protein
EANBDPEB_00014	CDS	318				hypothetical protein
EANBDPEB_00015	CDS	447	rplM			50S ribosomal protein L13
EANBDPEB_00016	CDS	393	rpsI		COG0103	30S ribosomal protein S9
EANBDPEB_00017	CDS	423	xerC_1			Tyrosine recombinase XerC
EANBDPEB_00018	CDS	177				hypothetical protein
EANBDPEB_00019	CDS	126				hypothetical protein
EANBDPEB_00020	CDS	2214				hypothetical protein
EANBDPEB_00021	CDS	477	bsaA			Glutathione peroxidase BsaA
EANBDPEB_00022	CDS	3204		4.2.2.1		Hyaluronate lyase
EANBDPEB_00023	CDS	216				IS200/IS605 family transposase ISStin10
EANBDPEB_00024	CDS	630	kdgA		COG0800	KHG/KDPG aldolase
EANBDPEB_00025	CDS	1002	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
EANBDPEB_00026	CDS	642				hypothetical protein
EANBDPEB_00027	CDS	816	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
EANBDPEB_00028	CDS	435				hypothetical protein
EANBDPEB_00029	CDS	1191	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
EANBDPEB_00030	CDS	492	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
EANBDPEB_00031	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
EANBDPEB_00032	CDS	819	manZ_2		COG3716	PTS system mannose-specific EIID component
EANBDPEB_00033	CDS	294				hypothetical protein
EANBDPEB_00034	CDS	1902				hypothetical protein
EANBDPEB_00035	CDS	1002	kdgR		COG1609	HTH-type transcriptional regulator KdgR
EANBDPEB_00036	CDS	336				hypothetical protein
EANBDPEB_00037	CDS	243				hypothetical protein
EANBDPEB_00038	CDS	294				hypothetical protein
EANBDPEB_00039	CDS	195				hypothetical protein
EANBDPEB_00040	CDS	951	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
EANBDPEB_00041	CDS	318	ftsL			Cell division protein FtsL
EANBDPEB_00042	CDS	2253	pbpX		COG0768	Penicillin-binding protein 2X
EANBDPEB_00043	CDS	981	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
EANBDPEB_00044	CDS	2106	clpC_1			putative ATP-dependent Clp protease ATP-binding subunit
EANBDPEB_00045	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
EANBDPEB_00046	CDS	1485				hypothetical protein
EANBDPEB_00047	CDS	1611	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
EANBDPEB_00048	CDS	1410				ISNCY family transposase IS1202
EANBDPEB_00049	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
EANBDPEB_00050	CDS	732	cpsB	3.1.3.48	COG4464	Tyrosine-protein phosphatase CpsB
EANBDPEB_00051	CDS	693	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
EANBDPEB_00052	CDS	690	cpsD	2.7.10.2		Tyrosine-protein kinase CpsD
EANBDPEB_00053	CDS	1362				hypothetical protein
EANBDPEB_00054	CDS	450				hypothetical protein
EANBDPEB_00055	CDS	480				hypothetical protein
EANBDPEB_00056	CDS	1098	epsF	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
EANBDPEB_00057	CDS	654				hypothetical protein
EANBDPEB_00058	CDS	723				hypothetical protein
EANBDPEB_00059	CDS	1173				hypothetical protein
EANBDPEB_00060	CDS	501	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
EANBDPEB_00061	CDS	1188				hypothetical protein
EANBDPEB_00062	CDS	1452				hypothetical protein
EANBDPEB_00063	CDS	393	tagD	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
EANBDPEB_00064	CDS	1029				hypothetical protein
EANBDPEB_00065	CDS	1983	sarA_1		COG4166	Oligopeptide-binding protein SarA
EANBDPEB_00066	CDS	5304		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
EANBDPEB_00067	CDS	2160	ponA		COG0744	Penicillin-binding protein 1A
EANBDPEB_00068	CDS	597	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
EANBDPEB_00069	CDS	528				hypothetical protein
EANBDPEB_00070	CDS	330	gpsB		COG3599	Cell cycle protein GpsB
EANBDPEB_00071	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
EANBDPEB_00072	CDS	1395	mapZ			Mid-cell-anchored protein Z
EANBDPEB_00073	CDS	1425	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
EANBDPEB_00074	CDS	690	arlR_1		COG0745	Response regulator ArlR
EANBDPEB_00075	CDS	1020				hypothetical protein
EANBDPEB_00076	CDS	1233				hypothetical protein
EANBDPEB_00077	CDS	471				hypothetical protein
EANBDPEB_00078	CDS	330				hypothetical protein
EANBDPEB_00079	CDS	879	galK_1	2.7.1.6		Galactokinase
EANBDPEB_00080	CDS	954				hypothetical protein
EANBDPEB_00081	CDS	1008		2.7.4.2		Phosphomevalonate kinase
EANBDPEB_00082	CDS	1011	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
EANBDPEB_00083	CDS	699	liaF		COG4758	Protein LiaF
EANBDPEB_00084	CDS	996				hypothetical protein
EANBDPEB_00085	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
EANBDPEB_00086	CDS	210				hypothetical protein
EANBDPEB_00087	CDS	915				hypothetical protein
EANBDPEB_00088	CDS	366				hypothetical protein
EANBDPEB_00089	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
EANBDPEB_00090	CDS	2367	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
EANBDPEB_00091	CDS	615	spsB	3.4.21.89		Signal peptidase IB
EANBDPEB_00092	CDS	882	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
EANBDPEB_00093	CDS	303				hypothetical protein
EANBDPEB_00094	CDS	549				hypothetical protein
EANBDPEB_00095	CDS	2337	mutS2	3.1.-.-		Endonuclease MutS2
EANBDPEB_00096	CDS	1323	alsT		COG1115	Amino-acid carrier protein AlsT
EANBDPEB_00097	CDS	549				hypothetical protein
EANBDPEB_00098	CDS	900				hypothetical protein
EANBDPEB_00099	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
EANBDPEB_00100	CDS	372				hypothetical protein
EANBDPEB_00101	CDS	1365	yclM	2.7.2.4	COG0527	Aspartokinase 3
EANBDPEB_00102	CDS	786	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
EANBDPEB_00103	CDS	435				hypothetical protein
