assembly,seed,clusterer,seqtype,combo,n_original_genes,n_genes_kept,n_genes_deleted,deleted_pct
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,panx,aa,panx/aa,6389,5849,540,8.452026921270935
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,cdhit,aa,cdhit/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,diamond,aa,diamond/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,hdbscan_dist,nt,hdbscan_dist/nt,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,hdbscan_tsne,nt,hdbscan_tsne/nt,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,hdbscan_umap,nt,hdbscan_umap/nt,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,ppanggolin,aa,ppanggolin/aa,6389,5949,440,6.886836750665205
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,panaroo,aa,panaroo/aa,6389,5949,440,6.886836750665205
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,embed_hdbscan_raw,aa,embed_hdbscan_raw/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,embed_hdbscan_tsne,aa,embed_hdbscan_tsne/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,embed_hdbscan_umap,aa,embed_hdbscan_umap/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,mmseqs2,aa,mmseqs2/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,panta,aa,panta/aa,6389,5892,497,7.778995147910471
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,hdbscan_dist,aa,hdbscan_dist/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,hdbscan_tsne,aa,hdbscan_tsne/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,hdbscan_umap,aa,hdbscan_umap/aa,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,cdhit,nt,cdhit/nt,6389,6389,0,0.0
PROKKA_06122025__gr_1e-12_lr_1e-13_mu_1e-14,34,mmseqs2,nt,mmseqs2/nt,6389,6389,0,0.0
